prevalence,brier_null,auroc_raw_mean,auroc_raw_ci_lower,auroc_raw_ci_upper,auprc_raw_mean,auprc_raw_ci_lower,auprc_raw_ci_upper,brier_raw_mean,brier_raw_ci_lower,brier_raw_ci_upper,bss_raw_mean,bss_raw_ci_lower,bss_raw_ci_upper,intercept_raw_mean,intercept_raw_ci_lower,intercept_raw_ci_upper,slope_raw_mean,slope_raw_ci_lower,slope_raw_ci_upper,architecture,loss_type,target,stratum,n_images,n_patients,seeds_used,auroc_corr_mean,brier_corr_mean,brier_corr_ci_lower,brier_corr_ci_upper,bss_corr_mean,bss_corr_ci_lower,bss_corr_ci_upper,intercept_corr_mean,intercept_corr_ci_lower,intercept_corr_ci_upper,slope_corr_mean,slope_corr_ci_lower,slope_corr_ci_upper,delta_brier_mean,delta_brier_ci_lower,delta_brier_ci_upper
0.23446893787575152,0.17949325504716848,0.8583611258545786,0.8229194421715679,0.8944200649162114,0.6721589888983479,0.5823952926915785,0.7508172128271966,0.2685848557835107,0.240461991843732,0.2955752552406756,-0.496350688570053,-0.6467206813036084,-0.3396714644265697,-2.401067659617307,-2.8783009085288738,-2.0153107643703283,1.0813766605551132,0.917970912498089,1.2972192631847188,densenet121,weighted_bce,Pleural Effusion,pa_view,998,203,42-123-2026,0.8611593561190757,0.12549480736286683,0.09720987305345526,0.15638470773594843,0.30083831100010733,0.12874326283261964,0.4584204680676732,0.6745175306376523,0.32125840542837913,1.064155860717865,1.1145227071437827,0.9482687298169612,1.341701705578223,-0.14309004842064388,-0.18245606866610847,-0.10293050970917762
0.17234468937875752,0.14264199742169711,0.7036384238174671,0.6380276734706775,0.7627584013981907,0.3283475815334588,0.2562718182673031,0.4063796822284132,0.38895132837843643,0.34443919820095725,0.42972213752589183,-1.7267658572430609,-2.012591980575612,-1.4147109857322078,-2.2452232294668804,-2.678598202456364,-1.8157969971679655,0.5767203022544797,0.3778712106118079,0.7842042176988246,densenet121,weighted_bce,Cardiomegaly,pa_view,998,203,42-123-2026,0.7039703074019652,0.15579377392227708,0.1293158665074571,0.18156156084010608,-0.09220129231434532,-0.2728478577269905,0.09342361404855785,-1.0104250788959412,-1.2611226287779502,-0.7696165406857735,0.5872104242685721,0.3888399301384414,0.7979000520557544,-0.23315755445615935,-0.2654813100796752,-0.1991884926106522
0.12925851703406813,0.11255075280822165,0.6195736438599702,0.5502866907164715,0.6837403255902581,0.2126874831201098,0.13609184281875772,0.2914922334208621,0.1579731030700251,0.13829184352813229,0.17702567990355417,-0.4035721585905328,-0.5728520288548682,-0.228706517527889,-1.5790813423085759,-1.9732517036641275,-1.2631107462770428,0.34988686899715854,0.12505655064984927,0.5383475391829381,densenet121,weighted_bce,Pneumonia,pa_view,998,203,42-123-2026,0.6182917069317189,0.12204571051972977,0.0932443974260458,0.15418881679446184,-0.08436156555689023,-0.36994922688068055,0.17153466236758524,-0.4219101605613154,-1.4885024845332162,0.4190233391482633,0.31426066225569255,0.11227969225063064,0.4873653790645616,-0.035927392550295346,-0.060546508036555084,-0.011791790467014314
0.08917835671342686,0.08122557740731966,0.7627175141339508,0.7074772727883912,0.8156979315067403,0.2216613564688892,0.1422672972977341,0.3129727277540311,0.09479179985296543,0.07682994469143092,0.11295507570607873,-0.16701909519972502,-0.3906343212513717,0.05411636157224315,-1.33306923384878,-1.7484370318469682,-0.9374082578118133,0.5751396966267255,0.41485610191270034,0.7449056487242748,densenet121,weighted_bce,Edema,pa_view,998,203,42-123-2026,0.7608663334519593,0.08871683992040694,0.06218135176237784,0.11459657783595115,-0.0922278763931841,-0.4108434989792299,0.23446094509665685,1.9433512427719557,0.687659522065392,3.1374288888265447,0.501611524891885,0.35694004689612113,0.6519885214405902,-0.006074959932558473,-0.02351815753736989,0.011035510367275576
0.3217749044960329,0.21823581533260178,0.6758701367510621,0.6449880731293907,0.7053931665836868,0.5159093206830223,0.46032891946788634,0.5724979198792066,0.24291708145137927,0.2139710622689248,0.27261766770750817,-0.1130944803040786,-0.24918848582220957,0.0195419484981295,0.43812473987657363,0.1886205758364896,0.7060585683794262,0.4506194279050454,0.36620371469491736,0.5338046000291923,resnet50,unweighted_bce,Pleural Effusion,all_frontal,3403,289,42-123-2026,,,,,,,,,,,,,,,,
0.26329709080223335,0.19397173277731383,0.5183391696190338,0.48696965999047453,0.5487784035961442,0.28281863370664073,0.24994944445133738,0.31474068400325506,0.23357336083413932,0.20756377999575681,0.25761403191687404,-0.20416185126463518,-0.3281008950547641,-0.0700723091134475,-0.9112075613226877,-1.1178428740611885,-0.7218847256910154,0.04512523043642548,-0.01969467094553352,0.10496098751047479,resnet50,unweighted_bce,Cardiomegaly,all_frontal,3403,289,42-123-2026,,,,,,,,,,,,,,,,
0.1004995592124596,0.09039939781056093,0.5833593274506563,0.5386718109868269,0.6242969425106869,0.13729881829776733,0.09989292291145897,0.18128968319708583,0.09811246952513406,0.08310909320228921,0.11458960407439986,-0.08532215812694331,-0.26759255979261504,0.08064549969181352,-1.0909146292374738,-1.7899623465532584,-0.4593647916743815,0.21140816079079797,0.09362520469135496,0.32832333421068566,resnet50,unweighted_bce,Pneumonia,all_frontal,3403,289,42-123-2026,,,,,,,,,,,,,,,,
0.21334116955627389,0.16782671492863507,0.5157534958119434,0.48286791451310007,0.5497170811597788,0.21930804509156424,0.18324406222374762,0.25912513170241747,0.2130238590223165,0.18249246101676292,0.24686584660734712,-0.2693084001131798,-0.47095679440738525,-0.08738624297308191,-1.0309224011425113,-1.6265189482714537,-0.4222347594124797,0.03793898777016449,-0.03663817825429636,0.11279149490566218,resnet50,unweighted_bce,Edema,all_frontal,3403,289,42-123-2026,,,,,,,,,,,,,,,,
0.358004158004158,0.2298371808558919,0.6464985915563853,0.6120707669114029,0.6819828593956005,0.4856040254356153,0.42685684972824817,0.54634086468697,0.29153310809749466,0.25692703136690154,0.3251174547465731,-0.2684331882763833,-0.4145555281171937,-0.11786539675665006,0.5153317391911881,0.18431279272395423,0.8474383190407697,0.38089723094786604,0.28205565629647206,0.4859676809897115,resnet50,unweighted_bce,Pleural Effusion,ap_view,2405,269,42-123-2026,,,,,,,,,,,,,,,,
0.30103950103950106,0.2104147198533893,0.5411625833586113,0.5061458076398602,0.5741575237730604,0.31770025953483183,0.2781190226888554,0.3587508852786476,0.2645192032732318,0.23456504847096354,0.2952834221325493,-0.2571325972704804,-0.4033401386475906,-0.1147749008928723,-0.5803145833502922,-0.8504554379785246,-0.29907644551314344,0.08776434324089182,0.011178742619281926,0.16424528364035085,resnet50,unweighted_bce,Cardiomegaly,ap_view,2405,269,42-123-2026,,,,,,,,,,,,,,,,
0.08856548856548857,0.0807216428006449,0.5597041837828051,0.5179502430952996,0.6011661508702856,0.1104941625297281,0.08420221793090488,0.13883207761428554,0.08704369153757996,0.07297008723880088,0.10253759930000135,-0.07831912876882825,-0.27026155244677663,0.09602821861526929,-1.4887551070631992,-2.126733927842441,-0.8673481149109129,0.15144343154100762,0.048997198496830395,0.2593122064742453,resnet50,unweighted_bce,Pneumonia,ap_view,2405,269,42-123-2026,,,,,,,,,,,,,,,,
0.2648648648648649,0.19471146822498175,0.5654772620212417,0.5292229587415633,0.6013236231801387,0.31966792418143336,0.26252266309381433,0.38198241828415014,0.2630690584073536,0.2218973936428808,0.3043958219827114,-0.351071207081584,-0.5633173780549666,-0.1396215932514398,0.28872465555613674,-0.4367347665248221,1.0435370067325467,0.17379326451443425,0.08195090992730003,0.2661003011297632,resnet50,unweighted_bce,Edema,ap_view,2405,269,42-123-2026,,,,,,,,,,,,,,,,
0.23446893787575152,0.17949325504716848,0.8535717817678903,0.8167226971206075,0.8880849451317049,0.6834595397768145,0.6010906181836164,0.7590680051592293,0.12644350139637386,0.09939450617090205,0.15438690183444098,0.2955529088647584,0.13987351895830222,0.44624935268580157,0.7284544845816012,0.3902600820670558,1.0865489865849038,1.0942863300458703,0.9140694998345321,1.293732555634001,resnet50,unweighted_bce,Pleural Effusion,pa_view,998,203,42-123-2026,,,,,,,,,,,,,,,,
