auroc,auprc,prevalence,brier_score,log_loss,ece,ece_equal_width,ece_equal_mass,calibration_slope,calibration_intercept,intercept_in_the_large,sensitivity_th0.50,specificity_th0.50,ppv_th0.50,npv_th0.50,accuracy_th0.50,true_positives,false_positives,true_negatives,false_negatives,run_id,architecture,loss_type,seed,target,stratum,eval_mode,sample_count
0.5949103129161246,0.13582072098340645,0.10049956291913986,0.09947148710489273,0.6610738635063171,0.09668642282485962,0.09668642282485962,0.09668642389329433,0.1569364368915558,-1.1136982440948486,3.6810366126403906,0.0,1.0,,0.8995004407875404,0.8995004407875404,0.0,0.0,3061.0,342.0,anchor_densenet121_unweighted_bce_seed42,densenet121,unweighted_bce,42,Pneumonia,all_frontal,raw,3403
0.5804836623145196,0.110364116524079,0.08856549113988876,0.08810336887836456,0.6472988128662109,0.08627776056528091,0.08627776056528091,0.08627776005721638,0.12616799771785736,-1.3786884546279907,4.11502395612345,0.0,1.0,,0.9114345114345115,0.9114345114345115,0.0,0.0,2192.0,213.0,anchor_densenet121_unweighted_bce_seed42,densenet121,unweighted_bce,42,Pneumonia,ap_view,raw,2405
0.5824390504991035,0.17445187005639198,0.12925851345062256,0.12686660885810852,0.6942692995071411,0.12176941335201263,0.12176941335201263,0.12176941718928562,0.20502053201198578,-0.7804428339004517,3.1614530181229825,0.0,1.0,,0.8707414829659319,0.8707414829659319,0.0,0.0,869.0,129.0,anchor_densenet121_unweighted_bce_seed42,densenet121,unweighted_bce,42,Pneumonia,pa_view,raw,998
0.5360051083044937,0.23203299941019606,0.21334117650985718,0.212871253490448,1.589768648147583,0.21232374012470245,0.21232374012470245,0.21232373918763267,0.11526916921138763,-0.4357234537601471,5.890417998513661,0.0,1.0,,0.7866588304437261,0.7866588304437261,0.0,0.0,2677.0,726.0,anchor_densenet121_unweighted_bce_seed42,densenet121,unweighted_bce,42,Edema,all_frontal,raw,3403
0.595232619675089,0.3411660427028694,0.26486486196517944,0.264403760433197,2.0219979286193848,0.2641821503639221,0.2641821503639221,0.26418215569240394,0.299102246761322,1.3248440027236938,6.621604599397107,0.0,1.0,,0.7351351351351352,0.7351351351351352,0.0,0.0,1768.0,637.0,anchor_densenet121_unweighted_bce_seed42,densenet121,unweighted_bce,42,Edema,ap_view,raw,2405
0.7033967441687989,0.16077799243673882,0.08917835354804993,0.08868718147277832,0.5481738448143005,0.08735430985689163,0.08735430985689163,0.08735431391626358,0.7929991483688354,2.7910327911376953,4.060891598836074,0.0,1.0,,0.9108216432865731,0.9108216432865731,0.0,0.0,909.0,89.0,anchor_densenet121_unweighted_bce_seed42,densenet121,unweighted_bce,42,Edema,pa_view,raw,998
0.6543940868766965,0.4970176109203532,0.3217748999595642,0.2720252573490143,0.7866252660751343,0.22419641720628583,0.22419641720628583,0.2228236145091134,0.36904269456863403,-0.86406409740448,-1.221413278759203,0.6712328767123288,0.5342287694974004,0.40607734806629836,0.7740112994350282,0.5783132530120482,735.0,1075.0,1233.0,360.0,anchor_densenet121_weighted_bce_seed123,densenet121,weighted_bce,123,Pleural Effusion,all_frontal,raw,3403
0.6543940868766965,0.4970176109203532,0.3217748999595642,0.24857895076274872,0.8829667568206787,0.21269665226721252,0.21269665226721252,0.21200523778353936,0.3690817356109619,0.26853877305984497,1.8471811590704033,0.08310502283105023,0.9857019064124783,0.7338709677419355,0.693809088136627,0.6952688803996474,91.0,33.0,2275.0,1004.0,anchor_densenet121_weighted_bce_seed123,densenet121,weighted_bce,123,Pleural Effusion,all_frontal,analytic_corrected,3403
0.6281875665721868,0.4661685114949666,0.3580041527748108,0.2618881165981293,0.7572854161262512,0.16484219589253227,0.16484219589253227,0.16373469591636422,0.30560168623924255,-0.58000648021698,-0.7216396794398138,0.5958188153310104,0.5893782383419689,0.44725370531822145,0.7233704292527822,0.5916839916839917,513.0,634.0,910.0,348.0,anchor_densenet121_weighted_bce_seed123,densenet121,weighted_bce,123,Pleural Effusion,ap_view,raw,2405
0.6281875665721868,0.4661685114949666,0.3580041527748108,0.3000451624393463,1.0867727994918823,0.27887185899978373,0.27887185899978373,0.2764283889978195,0.30573445558547974,0.3582020699977875,2.3469547781820426,0.017421602787456445,0.991580310880829,0.5357142857142857,0.6440891880521666,0.6428274428274429,15.0,13.0,1531.0,846.0,anchor_densenet121_weighted_bce_seed123,densenet121,weighted_bce,123,Pleural Effusion,ap_view,analytic_corrected,2405
0.8602021524141943,0.6777296940286656,0.23446893692016602,0.29645392298698425,0.8573287725448608,0.3927617958394105,0.3927617958394105,0.39276178402150563,1.0408217906951904,-2.6276774406433105,-2.558433537407897,0.9487179487179487,0.42277486910994766,0.334841628959276,0.9641791044776119,0.5460921843687375,222.0,441.0,323.0,12.0,anchor_densenet121_weighted_bce_seed123,densenet121,weighted_bce,123,Pleural Effusion,pa_view,raw,998
0.8602021524141943,0.6777296940286656,0.23446893692016602,0.12455477565526962,0.3918311595916748,0.05808682854703529,0.05808682854703529,0.06178175065225972,1.0407301187515259,0.565970242023468,0.5101608570556403,0.3247863247863248,0.9738219895287958,0.7916666666666666,0.8248337028824834,0.8216432865731463,76.0,20.0,744.0,158.0,anchor_densenet121_weighted_bce_seed123,densenet121,weighted_bce,123,Pleural Effusion,pa_view,analytic_corrected,998
