analysis_type,architecture,loss_type,seed,stratum_subset,temporal_bin,target,n_total,n_pos,auroc,brier,ece,notes
ece_binning_sensitivity,resnet50,weighted_bce,42,uniform_bins10,T1_2015,Pleural Effusion,1879,99,,,0.3007960116263715,ECE sensitivity: uniform binning with M=10
ece_binning_sensitivity,resnet50,weighted_bce,42,uniform_bins10,T2_2016,Pleural Effusion,3987,177,,,0.31557739588635475,ECE sensitivity: uniform binning with M=10
ece_binning_sensitivity,resnet50,weighted_bce,42,uniform_bins10,T3_2017,Pleural Effusion,2436,85,,,0.3239149487591142,ECE sensitivity: uniform binning with M=10
ece_binning_sensitivity,resnet50,weighted_bce,42,uniform_bins15,T1_2015,Pleural Effusion,1879,99,,,0.3007959796947453,ECE sensitivity: uniform binning with M=15
ece_binning_sensitivity,resnet50,weighted_bce,42,uniform_bins15,T2_2016,Pleural Effusion,3987,177,,,0.31557742556440727,ECE sensitivity: uniform binning with M=15
ece_binning_sensitivity,resnet50,weighted_bce,42,uniform_bins15,T3_2017,Pleural Effusion,2436,85,,,0.32391495872839476,ECE sensitivity: uniform binning with M=15
view_position_stratification,resnet50,weighted_bce,123,PA,T1_2015,Pleural Effusion,646,21,0.9705142857142858,0.062498288993446345,,Stratified evaluation for ViewPosition=PA
view_position_stratification,resnet50,weighted_bce,123,PA,T2_2016,Pleural Effusion,1379,38,0.9302857254994309,0.08864979119578893,,Stratified evaluation for ViewPosition=PA
view_position_stratification,resnet50,weighted_bce,123,PA,T3_2017,Pleural Effusion,838,18,0.8248983739837399,0.08980328621403495,,Stratified evaluation for ViewPosition=PA
view_position_stratification,resnet50,weighted_bce,123,AP,T1_2015,Pleural Effusion,192,6,0.7849462365591398,0.1196780436020533,,Stratified evaluation for ViewPosition=AP
view_position_stratification,resnet50,weighted_bce,123,AP,T2_2016,Pleural Effusion,479,15,0.7959770114942529,0.11728714408308935,,Stratified evaluation for ViewPosition=AP
view_position_stratification,resnet50,weighted_bce,123,AP,T3_2017,Pleural Effusion,303,5,0.9335570469798657,0.12204546739864171,,Stratified evaluation for ViewPosition=AP
view_position_stratification,resnet50,weighted_bce,123,L,T1_2015,Pleural Effusion,442,20,0.9292061611374407,0.07066358740105472,,Stratified evaluation for ViewPosition=L
view_position_stratification,resnet50,weighted_bce,123,L,T2_2016,Pleural Effusion,894,35,0.9000332612672544,0.09115397277149483,,Stratified evaluation for ViewPosition=L
view_position_stratification,resnet50,weighted_bce,123,L,T3_2017,Pleural Effusion,537,11,0.8822156930521949,0.07040181827349584,,Stratified evaluation for ViewPosition=L
