architecture,target,temporal_bin,calibration_method,metric,unweighted_mean,weighted_mean,difference
densenet121,Pneumonia,T2_2016,raw,auroc,0.8855771348613037,0.8571321566925361,-0.028444978168767676
densenet121,Pneumonia,T3_2017,raw,brier_score,0.018654667255256885,0.12361773598797962,0.10496306873272274
densenet121,Pneumonia,T3_2017,raw,log_loss,0.08031592618181072,0.3991337253673518,0.3188177991855411
densenet121,Pneumonia,T3_2017,raw,ece_equal_mass,0.009556023128679456,0.23499690881563967,0.22544088568696022
densenet121,Pneumonia,T3_2017,raw,auroc,0.8679777870913663,0.8508340318524727,-0.017143755238893554
densenet121,Pneumonia,T1_2015,temperature,brier_score,0.023142121053024912,0.12118698255885403,0.09804486150582911
densenet121,Pneumonia,T1_2015,temperature,log_loss,0.09625792178108564,0.3865822381151163,0.29032431633403066
densenet121,Pneumonia,T1_2015,temperature,ece_equal_mass,0.013115149419083798,0.22365264162345883,0.21053749220437504
densenet121,Pneumonia,T1_2015,temperature,auroc,0.8422156916347731,0.8236905412793876,-0.01852515035538549
densenet121,Pneumonia,T2_2016,temperature,brier_score,0.01805630992614725,0.11981574948464765,0.1017594395585004
densenet121,Pneumonia,T2_2016,temperature,log_loss,0.07698321312673037,0.38170548542771415,0.3047222723009838
densenet121,Pneumonia,T2_2016,temperature,ece_equal_mass,0.008995087728491499,0.22851347339984845,0.21951838567135695
densenet121,Pneumonia,T2_2016,temperature,auroc,0.8855771348613036,0.8571321566925361,-0.028444978168767565
densenet121,Pneumonia,T3_2017,temperature,brier_score,0.01847757744701125,0.11932692445754889,0.10084934701053763
densenet121,Pneumonia,T3_2017,temperature,log_loss,0.0795094194349913,0.37971788827370945,0.30020846883871816
densenet121,Pneumonia,T3_2017,temperature,ece_equal_mass,0.008087523614828826,0.22688146716456292,0.21879394354973408
densenet121,Pneumonia,T3_2017,temperature,auroc,0.8679777870913663,0.8508340318524727,-0.017143755238893554
densenet121,Pneumonia,T1_2015,offset,brier_score,0.022998623852140306,0.023801527849816574,0.0008029039976762686
densenet121,Pneumonia,T1_2015,offset,log_loss,0.09587024107319833,0.10277541229662514,0.0069051712234268064
densenet121,Pneumonia,T1_2015,offset,ece_equal_mass,0.010273591568016747,0.010900505664843296,0.0006269140968265495
densenet121,Pneumonia,T1_2015,offset,auroc,0.8439051394204483,0.8191853471842537,-0.024719792236194582
densenet121,Pneumonia,T2_2016,offset,brier_score,0.01821124398088864,0.019369701540813813,0.0011584575599251738
densenet121,Pneumonia,T2_2016,offset,log_loss,0.07676643472087241,0.08083761728519594,0.004071182564323525
densenet121,Pneumonia,T2_2016,offset,ece_equal_mass,0.008195050822632331,0.008082092537877476,-0.00011295828475485492
densenet121,Pneumonia,T2_2016,offset,auroc,0.8855771348613036,0.8571321566925361,-0.028444978168767565
densenet121,Pneumonia,T3_2017,offset,brier_score,0.01849172001205443,0.019392628713573945,0.000900908701519515
densenet121,Pneumonia,T3_2017,offset,log_loss,0.07920632031874922,0.08249846459406168,0.003292144275312464
densenet121,Pneumonia,T3_2017,offset,ece_equal_mass,0.00734684393339674,0.009362329656204843,0.0020154857228081033
densenet121,Pneumonia,T3_2017,offset,auroc,0.8679777870913663,0.8508340318524727,-0.017143755238893554
densenet121,Pneumonia,T1_2015,platt,brier_score,0.023115296637507478,0.023762413025402027,0.0006471163878945495
densenet121,Pneumonia,T1_2015,platt,log_loss,0.09574700963804281,0.10113693541357001,0.005389925775527202
densenet121,Pneumonia,T1_2015,platt,ece_equal_mass,0.007427302406573463,0.007125615187518362,-0.0003016872190551006
densenet121,Pneumonia,T1_2015,platt,auroc,0.840826954620011,0.814024056861673,-0.026802897758337996
densenet121,Pneumonia,T2_2016,platt,brier_score,0.01821517285815115,0.018570726262521063,0.00035555340436991406
densenet121,Pneumonia,T2_2016,platt,log_loss,0.07571418600108058,0.07935242825748932,0.0036382422564087413
densenet121,Pneumonia,T2_2016,platt,ece_equal_mass,0.006353149067312542,0.0061389535889757796,-0.00021419547833676205
densenet121,Pneumonia,T2_2016,platt,auroc,0.8855771348613036,0.8571321566925361,-0.028444978168767565
densenet121,Pneumonia,T3_2017,platt,brier_score,0.018505126747855885,0.018582904429540935,7.777768168504978e-05
densenet121,Pneumonia,T3_2017,platt,log_loss,0.0782995486044541,0.08043868326170112,0.0021391346572470216
densenet121,Pneumonia,T3_2017,platt,ece_equal_mass,0.006212507452419463,0.006739616286338131,0.0005271088339186677
densenet121,Pneumonia,T3_2017,platt,auroc,0.8679777870913663,0.8508340318524727,-0.017143755238893554
resnet50,Cardiomegaly,T1_2015,raw,brier_score,0.056167105418219065,0.13601350437208198,0.07984639895386292
resnet50,Cardiomegaly,T1_2015,raw,log_loss,0.19128249560093458,0.4287770195778954,0.2374945239769608
resnet50,Cardiomegaly,T1_2015,raw,ece_equal_mass,0.02038232124741273,0.23977296152703026,0.21939064027961752
resnet50,Cardiomegaly,T1_2015,raw,auroc,0.8943904062779846,0.8423875901399821,-0.052002816138002506
resnet50,Cardiomegaly,T2_2016,raw,brier_score,0.06983207474337955,0.14667076409503232,0.07683868935165278
resnet50,Cardiomegaly,T2_2016,raw,log_loss,0.23418867265433743,0.45286752257793483,0.2186788499235974
resnet50,Cardiomegaly,T2_2016,raw,ece_equal_mass,0.017531492332291773,0.23066962246232645,0.2131381301300347
resnet50,Cardiomegaly,T2_2016,raw,auroc,0.8809313992674965,0.8212686033913176,-0.05966279587617895
resnet50,Cardiomegaly,T3_2017,raw,brier_score,0.07012120116758588,0.14645414571116494,0.07633294454357906
resnet50,Cardiomegaly,T3_2017,raw,log_loss,0.23350961940393006,0.4534903037065088,0.21998068430257872
resnet50,Cardiomegaly,T3_2017,raw,ece_equal_mass,0.016430048329529053,0.2290514958997813,0.21262144757025225
resnet50,Cardiomegaly,T3_2017,raw,auroc,0.8836650952797886,0.815699053608673,-0.06796604167111564
resnet50,Cardiomegaly,T1_2015,temperature,brier_score,0.055550706175311396,0.11839389798010981,0.06284319180479842
resnet50,Cardiomegaly,T1_2015,temperature,log_loss,0.1872893160838358,0.3697924856820869,0.18250316959825108
resnet50,Cardiomegaly,T1_2015,temperature,ece_equal_mass,0.011138049404192104,0.17412486833933913,0.16298681893514702
resnet50,Cardiomegaly,T1_2015,temperature,auroc,0.8938361141223232,0.841491590862673,-0.05234452325965022
resnet50,Cardiomegaly,T2_2016,temperature,brier_score,0.06966161946915346,0.13277960931202987,0.0631179898428764
