architecture,loss_type,seed,target,temporal_bin,eval_mode,calibration_method,brier_score,log_loss,ece_equal_mass,ece_equal_width,auroc,auprc,calibration_slope,calibration_intercept,n_total,n_pos,prevalence,pos_weight
resnet50,unweighted_bce,123,Edema,T3_2017,out_of_sample_prospective,platt,4.6420964771503515e-06,0.0021368721327997783,0.002134547652823893,0.002134547652823893,,,,,2436,0,0.0,1.0
resnet50,unweighted_bce,2026,Edema,T1_2015,out_of_sample_cross_fitted,raw,0.002125730260815523,0.018498431353000905,0.0019179617346746667,0.0014482238270739484,0.5404666666666667,0.008251621899480288,0.12144584789514233,-5.1117667803754285,1879,4,0.0021287919105907396,1.0
resnet50,unweighted_bce,2026,Edema,T1_2015,out_of_sample_cross_fitted,temperature,0.002140188330065183,0.01814299097828222,0.0026697091067710925,0.0005608101244156919,0.48373333333333335,0.006815830908969553,-0.17098220908691522,-7.350448050902795,1879,4,0.0021287919105907396,1.0
resnet50,unweighted_bce,2026,Edema,T1_2015,out_of_sample_cross_fitted,offset,0.0021558503952292356,0.01907089085612706,0.0034895554150623166,0.0001826089821989655,0.4792,0.0037750768350755344,-0.08692896402555905,-6.834093116962709,1879,4,0.0021287919105907396,1.0
resnet50,unweighted_bce,2026,Edema,T1_2015,out_of_sample_cross_fitted,platt,0.0021286604896344464,0.018558939298306838,0.0026251302298653644,0.00017440813985486036,0.4346666666666667,0.0036157163383488027,-0.31180681972222823,-8.41902778306702,1879,4,0.0021287919105907396,1.0
resnet50,unweighted_bce,2026,Edema,T2_2016,out_of_sample_prospective,raw,0.003242760558977816,0.020710737723953813,0.002650720354966959,0.0025422128835173837,0.8893383918547482,0.0230783573766872,0.9694865097610998,1.3446479398857043,3987,13,0.0032605969400551793,1.0
resnet50,unweighted_bce,2026,Edema,T2_2016,out_of_sample_prospective,temperature,0.0032203805532697687,0.018436609317060027,0.0013018017264103516,0.0003678973444919526,0.8893383918547482,0.0230783573766872,1.2569373953466347,1.383225500813183,3987,13,0.0032605969400551793,1.0
resnet50,unweighted_bce,2026,Edema,T2_2016,out_of_sample_prospective,offset,0.003225498940176081,0.018503183227104227,0.0013539041147213268,0.0010110017142388864,0.8893383918547482,0.0230783573766872,0.9070090194515924,-0.11329958670443233,3987,13,0.0032605969400551793,1.0
resnet50,unweighted_bce,2026,Edema,T2_2016,out_of_sample_prospective,platt,0.0032467100312898512,0.02125296029992531,0.003339589145068422,0.0011052718493914132,0.8893383918547482,0.0230783573766872,7.9518213263514985,41.96912771366625,3987,13,0.0032605969400551793,1.0
resnet50,unweighted_bce,2026,Edema,T3_2017,out_of_sample_prospective,raw,3.864506197149374e-06,0.000716293088731598,0.0007143435819860515,0.0007143435819860516,,,,,2436,0,0.0,1.0
resnet50,unweighted_bce,2026,Edema,T3_2017,out_of_sample_prospective,temperature,3.262186849973357e-05,0.0028652071175318504,0.00284862040380191,0.00284862040380191,,,,,2436,0,0.0,1.0
resnet50,unweighted_bce,2026,Edema,T3_2017,out_of_sample_prospective,offset,3.654348627070359e-05,0.0022512585221855287,0.002232489071663511,0.002232489071663511,,,,,2436,0,0.0,1.0
resnet50,unweighted_bce,2026,Edema,T3_2017,out_of_sample_prospective,platt,4.828454556764633e-06,0.0021537312188697876,0.0021513132154087084,0.002151313215408708,,,,,2436,0,0.0,1.0
resnet50,unweighted_bce,ensemble,Edema,T1_2015,out_of_sample_cross_fitted,raw,0.002127485458252291,0.016310375103184834,0.0017469167902056698,0.0004332492534664064,0.5556000000000001,0.0075188027722804494,0.2745030746740468,-4.188262753576999,1879,4,0.0021287919105907396,1.0
resnet50,unweighted_bce,ensemble,Edema,T1_2015,out_of_sample_cross_fitted,temperature,0.0021423208430735915,0.017570825425160728,0.002810932326226986,0.0007059913254155673,0.4861333333333333,0.006988478027717097,-0.035563214730688734,-6.391485706696296,1879,4,0.0021287919105907396,1.0
resnet50,unweighted_bce,ensemble,Edema,T1_2015,out_of_sample_cross_fitted,offset,0.0021409273232671786,0.017277225659125334,0.0025010071745811585,4.870465083131256e-05,0.4958666666666667,0.005774843189855244,0.06621957456010193,-5.675872171477289,1879,4,0.0021287919105907396,1.0
resnet50,unweighted_bce,ensemble,Edema,T1_2015,out_of_sample_cross_fitted,platt,0.0021221488519037063,0.01733110656171487,0.003068033424782024,6.819624837956992e-05,0.5004,0.014861133726474669,-0.3682769495895409,-8.707642950145708,1879,4,0.0021287919105907396,1.0
resnet50,unweighted_bce,ensemble,Edema,T2_2016,out_of_sample_prospective,raw,0.003226333062622966,0.01859927735963497,0.002060539821954697,0.0014618667792501044,0.9082691339862956,0.023674191471356444,1.1156489434786134,1.2141186767545962,3987,13,0.0032605969400551793,1.0
resnet50,unweighted_bce,ensemble,Edema,T2_2016,out_of_sample_prospective,temperature,0.003219050283232218,0.018167470311815023,0.0014662722793478155,0.00021766245894035748,0.9076110100267121,0.023784470513843095,1.2209354705702005,1.1256093369189382,3987,13,0.0032605969400551793,1.0
resnet50,unweighted_bce,ensemble,Edema,T2_2016,out_of_sample_prospective,offset,0.003222301159713965,0.018255989764885766,0.0017228469624671608,0.0010035899317357771,0.9086949789013201,0.02378991030405344,1.115904252798933,0.9589088495081136,3987,13,0.0032605969400551793,1.0
resnet50,unweighted_bce,ensemble,Edema,T2_2016,out_of_sample_prospective,platt,0.0032444136126816895,0.020867896140407818,0.003634527445271969,0.0010882598707952999,0.8985521272889165,0.022709899145882007,5.124323113556686,24.763963438146273,3987,13,0.0032605969400551793,1.0
resnet50,unweighted_bce,ensemble,Edema,T3_2017,out_of_sample_prospective,raw,1.4829720007577678e-05,0.0017165418835573439,0.0017090409883423656,0.0017090409883423658,,,,,2436,0,0.0,1.0
resnet50,unweighted_bce,ensemble,Edema,T3_2017,out_of_sample_prospective,temperature,3.592071849003127e-05,0.0029288640797835797,0.002910611961146932,0.002910611961146932,,,,,2436,0,0.0,1.0
resnet50,unweighted_bce,ensemble,Edema,T3_2017,out_of_sample_prospective,offset,2.5068136048190774e-05,0.002176149284385786,0.0021634129420363443,0.0021634129420363443,,,,,2436,0,0.0,1.0
resnet50,unweighted_bce,ensemble,Edema,T3_2017,out_of_sample_prospective,platt,5.054872883188476e-06,0.0021577661247687064,0.0021552343557048543,0.0021552343557048543,,,,,2436,0,0.0,1.0
resnet50,unweighted_bce,42,Pleural Effusion,T1_2015,out_of_sample_cross_fitted,raw,0.03649139621624245,0.1253102050266587,0.014112241180513213,0.016062582839317815,0.9353393485415957,0.44269229199995186,0.9729364639831771,0.36446541722749703,1879,99,0.05268759978712081,1.0
resnet50,unweighted_bce,42,Pleural Effusion,T1_2015,out_of_sample_cross_fitted,temperature,0.03614874039099013,0.12422360733675836,0.008894108750486115,0.012682526855462417,0.9338241970264441,0.4390144437859957,1.108574081221036,0.3438744394839435,1879,99,0.05268759978712081,1.0
resnet50,unweighted_bce,42,Pleural Effusion,T1_2015,out_of_sample_cross_fitted,offset,0.0359262846415948,0.12318553921609418,0.0064769620831365594,0.007130345100932693,0.9347605266144593,0.438181884890414,0.9652509406516492,-0.04405653408199209,1879,99,0.05268759978712081,1.0
resnet50,unweighted_bce,42,Pleural Effusion,T1_2015,out_of_sample_cross_fitted,platt,0.03637447349794317,0.12455210252410509,0.005468865409470735,0.010200982857845388,0.9332113267506527,0.4227655886558985,0.9763365882381911,-0.027144540891672564,1879,99,0.05268759978712081,1.0
resnet50,unweighted_bce,42,Pleural Effusion,T2_2016,out_of_sample_prospective,raw,0.035898468078267645,0.13437747806410066,0.010180582205311485,0.012831399446642553,0.8851505849904355,0.30770643903723605,0.7526701097349178,-0.36628732552901355,3987,177,0.04439428141459744,1.0
resnet50,unweighted_bce,42,Pleural Effusion,T2_2016,out_of_sample_prospective,temperature,0.03585013309150552,0.13186089233928705,0.009980399975601672,0.007394629394228248,0.8851505849904355,0.30770643903723605,0.8680758660448951,-0.3657780916002398,3987,177,0.04439428141459744,1.0
resnet50,unweighted_bce,42,Pleural Effusion,T2_2016,out_of_sample_prospective,offset,0.037222291449095495,0.13537675175911487,0.016563440573763796,0.01602963520276542,0.8851505849904355,0.30770643903723605,0.7524609661413811,-0.6803396714527717,3987,177,0.04439428141459744,1.0
resnet50,unweighted_bce,42,Pleural Effusion,T2_2016,out_of_sample_prospective,platt,0.03702294637245797,0.13474135407306798,0.01600758511098909,0.014632539309547969,0.8851505849904355,0.30770643903723605,0.7738501609208119,-0.6472993426421018,3987,177,0.04439428141459744,1.0
resnet50,unweighted_bce,42,Pleural Effusion,T3_2017,out_of_sample_prospective,raw,0.028463081377151495,0.11525439701362829,0.012041411457212197,0.008625613054980101,0.8596792353691796,0.2940887832192466,0.7261527353227778,-0.6644198209576537,2436,85,0.03489326765188834,1.0
resnet50,unweighted_bce,42,Pleural Effusion,T3_2017,out_of_sample_prospective,temperature,0.028720134513756445,0.11448323622611005,0.014887496575860333,0.010979489634437432,0.8596792353691796,0.2940887832192466,0.8371768764367084,-0.662377160975754,2436,85,0.03489326765188834,1.0
resnet50,unweighted_bce,42,Pleural Effusion,T3_2017,out_of_sample_prospective,offset,0.030207256224173976,0.11910687696277739,0.021409325179790946,0.015700028067905658,0.8596792353691796,0.2940887832192466,0.7267353717842865,-0.9640515724910778,2436,85,0.03489326765188834,1.0
resnet50,unweighted_bce,42,Pleural Effusion,T3_2017,out_of_sample_prospective,platt,0.03002393230116985,0.11846070247563356,0.020879055383291455,0.01577656610180863,0.8596792353691796,0.2940887832192466,0.747248324114184,-0.9316960793017594,2436,85,0.03489326765188834,1.0
resnet50,unweighted_bce,123,Pleural Effusion,T1_2015,out_of_sample_cross_fitted,raw,0.039693770262170434,0.14073637390733912,0.021831023719939432,0.022763262031099338,0.9164056293269777,0.40995431185322956,1.6284813594327165,1.374531075471908,1879,99,0.05268759978712081,1.0
resnet50,unweighted_bce,123,Pleural Effusion,T1_2015,out_of_sample_cross_fitted,temperature,0.04013610697697197,0.14009632645306042,0.020393403246112038,0.018265325195513864,0.9154125524912042,0.4093060916673118,1.4836131870391114,1.3563258886173706,1879,99,0.05268759978712081,1.0
resnet50,unweighted_bce,123,Pleural Effusion,T1_2015,out_of_sample_cross_fitted,offset,0.03965685902581002,0.14123181758920567,0.021270941193448502,0.02193959924708874,0.9152479854727047,0.3964925267038554,1.6122778289864232,1.2551010091679686,1879,99,0.05268759978712081,1.0
resnet50,unweighted_bce,123,Pleural Effusion,T1_2015,out_of_sample_cross_fitted,platt,0.03839528532772893,0.13378037451267727,0.005156881093693039,0.003012245641852141,0.914294631710362,0.38873816204981126,0.9852377535399248,-0.015292362968517057,1879,99,0.05268759978712081,1.0
resnet50,unweighted_bce,123,Pleural Effusion,T2_2016,out_of_sample_prospective,raw,0.03778956367746341,0.14536865536923393,0.00985379407285353,0.009550740322985229,0.8426264513545976,0.2453958936950956,1.1337044125711815,0.08673413112633864,3987,177,0.04439428141459744,1.0
resnet50,unweighted_bce,123,Pleural Effusion,T2_2016,out_of_sample_prospective,temperature,0.0377073338693863,0.14413546331310806,0.006676048350385592,0.001334040198456845,0.8426264513545976,0.2453958936950956,1.0401575994898238,0.08680372053076361,3987,177,0.04439428141459744,1.0
resnet50,unweighted_bce,123,Pleural Effusion,T2_2016,out_of_sample_prospective,offset,0.03787888481345459,0.1460020501516544,0.012446760707569305,0.012268046158904214,0.8426264513545976,0.2453958936950956,1.13494511498673,0.017361194287167186,3987,177,0.04439428141459744,1.0
