architecture,loss_type,seed,target,temporal_bin,calibration_method,comparison,brier_raw,brier_calibrated,delta_brier,brier_diff_ci_lower,brier_diff_ci_upper,log_loss_raw,log_loss_calibrated,delta_log_loss,log_loss_diff_ci_lower,log_loss_diff_ci_upper
densenet121,unweighted_bce,ensemble,Edema,T2_2016,platt,platt_vs_raw,0.003235093327212105,0.0032433811079036366,8.287780691531438e-06,-1.4784634472869775e-06,2.107524247086391e-05,0.020033821964705788,0.020712031748741935,0.0006782097840361476,-0.00031967571159257187,0.0019487281234860422
densenet121,unweighted_bce,ensemble,Edema,T3_2017,temperature,temperature_vs_raw,1.0052765195500289e-05,8.816181596371222e-06,-1.2365835991290663e-06,-1.789152826109703e-06,-5.997360791338239e-07,0.002890833202870866,0.0023243219259391707,-0.0005665112769316955,-0.0006106401809040646,-0.0005143583237209482
densenet121,unweighted_bce,ensemble,Edema,T3_2017,offset,offset_vs_raw,1.0052765195500289e-05,8.640183961585774e-06,-1.412581233914515e-06,-2.195568470839835e-06,-5.38511141138158e-07,0.002890833202870866,0.0021803071135090123,-0.0007105260893618538,-0.0007654283685475557,-0.0006448587827259093
densenet121,unweighted_bce,ensemble,Edema,T3_2017,platt,platt_vs_raw,1.0052765195500289e-05,5.158039532968945e-06,-4.894725662531344e-06,-5.5265499049144704e-06,-4.329674151905991e-06,0.002890833202870866,0.0021681902029070054,-0.0007226429999638607,-0.000773227496881763,-0.0006766368133506092
densenet121,unweighted_bce,ensemble,Pleural Effusion,T1_2015,temperature,temperature_vs_raw,0.03555694945618418,0.03504878753913469,-0.000508161917049485,-0.000995505808151563,-3.475974422467896e-05,0.12361148060565783,0.1230913741098985,-0.0005201064957593288,-0.0036712576222840392,0.0025131414635568504
densenet121,unweighted_bce,ensemble,Pleural Effusion,T1_2015,offset,offset_vs_raw,0.03555694945618418,0.03333535184200217,-0.0022215976141820096,-0.004195568413684591,-0.00037424268536743224,0.12361148060565783,0.11898786056633069,-0.004623620039327134,-0.0109270922143607,0.001533870632707281
densenet121,unweighted_bce,ensemble,Pleural Effusion,T1_2015,platt,platt_vs_raw,0.03555694945618418,0.03326237761659836,-0.0022945718395858197,-0.005091451275586234,0.0005066507765013902,0.12361148060565783,0.11686205438348676,-0.006749426222171062,-0.014398664900353303,0.0009777248292498842
densenet121,unweighted_bce,ensemble,Pleural Effusion,T2_2016,temperature,temperature_vs_raw,0.03412156913691426,0.033904885533005226,-0.00021668360390903613,-0.0006413500712742681,0.00016362399920691112,0.1254397840245094,0.1252815583377626,-0.0001582256867467824,-0.003254002796013687,0.002584973166035168
densenet121,unweighted_bce,ensemble,Pleural Effusion,T2_2016,offset,offset_vs_raw,0.03412156913691426,0.03429756607490748,0.00017599693799321553,-0.0012139307365738232,0.0016736664674609964,0.1254397840245094,0.12620253070507778,0.000762746680568388,-0.004721628865386126,0.0060742412659986434
densenet121,unweighted_bce,ensemble,Pleural Effusion,T2_2016,platt,platt_vs_raw,0.03412156913691426,0.03554517298202319,0.0014236038451089297,-0.0005400254920452457,0.0036829989278301463,0.1254397840245094,0.12765819682256369,0.0022184127980542923,-0.0037751536355925667,0.008469987275267217
densenet121,unweighted_bce,ensemble,Pleural Effusion,T3_2017,temperature,temperature_vs_raw,0.02676743067172039,0.026840186877038246,7.275620531785668e-05,-0.0002617860283762793,0.00037323137613594413,0.10535752749713272,0.1065895514194171,0.0012320239222843865,-0.0018704565929676814,0.0038595293490835693
