coverage,retained_samples,deferred_samples,p_defer_given_pos,p_defer_given_neg,retained_positives,retained_prevalence,automated_false_negatives,automated_false_positives,sensitivity_retained,specificity_retained,ppv_retained,npv_retained,brier_score,ece,ece_equal_width,ece_equal_mass,auroc,auprc,architecture,loss_type,seed,target,temporal_bin,calibration_method,threshold_method,threshold_value
0.9,1692,187,0.1414141414141414,0.09719101123595505,85.0,0.050236406619385346,2.0,262.0,0.9764705882352941,0.8369632856253889,0.24057971014492754,0.9985152190051967,0.029101547472688512,0.010712760193872933,0.015441940306265983,0.010712760193872933,0.9667118122918116,0.5659616553666328,densenet121,unweighted_bce,ensemble,Pleural Effusion,T1_2015,platt,youden_validation,0.027316883206367493
1.0,1879,0,0.0,0.0,99.0,0.05268759978712081,2.0,427.0,0.9797979797979798,0.7601123595505618,0.1851145038167939,0.9985239852398524,0.03326237761659836,0.012602725151113995,0.010159507543471039,0.012602725151113995,0.9437351038474633,0.5139392438894069,densenet121,unweighted_bce,ensemble,Pleural Effusion,T1_2015,platt,youden_validation,0.027316883206367493
0.5,940,939,1.0,0.47191011235955055,0.0,0.0,0.0,0.0,,1.0,,1.0,2.5573037451213667e-05,0.004422005459212976,0.0044220054592129755,0.004422005459212976,,,densenet121,unweighted_bce,ensemble,Pleural Effusion,T1_2015,platt,fixed_0.5,0.5
0.6,1128,751,1.0,0.36629213483146067,0.0,0.0,0.0,0.0,,1.0,,1.0,4.5634140858142435e-05,0.005683232963452723,0.005683232963452723,0.005683232963452723,,,densenet121,unweighted_bce,ensemble,Pleural Effusion,T1_2015,platt,fixed_0.5,0.5
0.7,1316,563,0.98989898989899,0.2612359550561798,1.0,0.0007598784194528875,1.0,0.0,0.0,1.0,,0.9992401215805471,0.0008226092122078465,0.0068034106983798255,0.0068034106983798255,0.0068034106983798255,0.9262357414448669,0.01020408163265306,densenet121,unweighted_bce,ensemble,Pleural Effusion,T1_2015,platt,fixed_0.5,0.5
0.8,1504,375,0.8585858585858586,0.16292134831460675,14.0,0.009308510638297872,14.0,0.0,0.0,1.0,,0.9906914893617021,0.008936101271797545,0.010366052605656238,0.0014740063425632156,0.010366052605656238,0.9310642377756472,0.07276426382007432,densenet121,unweighted_bce,ensemble,Pleural Effusion,T1_2015,platt,fixed_0.5,0.5
0.9,1692,187,0.7272727272727273,0.06460674157303371,27.0,0.015957446808510637,26.0,1.0,0.037037037037037035,0.9993993993993994,0.5,0.9846153846153847,0.015050077381211962,0.011178701332881015,0.0032303881276063333,0.011178701332881015,0.8922255588922255,0.1302145694432256,densenet121,unweighted_bce,ensemble,Pleural Effusion,T1_2015,platt,fixed_0.5,0.5
1.0,1879,0,0.0,0.0,99.0,0.05268759978712081,69.0,17.0,0.30303030303030304,0.9904494382022472,0.6382978723404256,0.9623362445414847,0.03326237761659835,0.012602725151113995,0.010159507543471037,0.012602725151113995,0.9437351038474633,0.5139392438894069,densenet121,unweighted_bce,ensemble,Pleural Effusion,T1_2015,platt,fixed_0.5,0.5
0.5,940,939,,,,,0.48,,,,,,0.035551838418586536,,,,,,densenet121,unweighted_bce,ensemble,Pleural Effusion,T1_2015,random_baseline,youden_validation,0.020260223798685823
0.6,1128,751,,,,,0.68,,,,,,0.03561687825826862,,,,,,densenet121,unweighted_bce,ensemble,Pleural Effusion,T1_2015,random_baseline,youden_validation,0.020260223798685823
0.7,1316,563,,,,,0.7,,,,,,0.0355223996457229,,,,,,densenet121,unweighted_bce,ensemble,Pleural Effusion,T1_2015,random_baseline,youden_validation,0.020260223798685823
0.8,1504,375,,,,,0.77,,,,,,0.03527720130498743,,,,,,densenet121,unweighted_bce,ensemble,Pleural Effusion,T1_2015,random_baseline,youden_validation,0.020260223798685823
0.9,1692,187,,,,,0.93,,,,,,0.035434320638465334,,,,,,densenet121,unweighted_bce,ensemble,Pleural Effusion,T1_2015,random_baseline,youden_validation,0.020260223798685823
1.0,1879,0,,,,,1.0,,,,,,0.035556949456184164,,,,,,densenet121,unweighted_bce,ensemble,Pleural Effusion,T1_2015,random_baseline,youden_validation,0.020260223798685823
0.5,1994,1993,0.8700564971751412,0.4826771653543307,23.0,0.011534603811434303,5.0,12.0,0.782608695652174,0.9939117199391172,0.6,0.9974541751527495,0.005937476267090573,0.0027100920694133747,0.004937598131167125,0.0027100920694133747,0.9409701541923102,0.6007286457962832,densenet121,unweighted_bce,ensemble,Pleural Effusion,T2_2016,raw,youden_validation,0.020260223798685823
0.6,2393,1594,0.7062146892655368,0.38556430446194223,52.0,0.02173004596740493,8.0,44.0,0.8461538461538461,0.9812046134130713,0.5,0.996529284164859,0.012249354027417734,0.0031966631492444625,0.005853664769109247,0.0031966631492444625,0.9533072651398152,0.5499421948664147,densenet121,unweighted_bce,ensemble,Pleural Effusion,T2_2016,raw,youden_validation,0.020260223798685823
0.7,2791,1196,0.4576271186440678,0.2926509186351706,96.0,0.034396273737011825,13.0,135.0,0.8645833333333334,0.9499072356215214,0.38073394495412843,0.9949475320637389,0.022422987265890777,0.005639796396444255,0.008819696211972036,0.005639796396444255,0.9480287569573285,0.4769727515753997,densenet121,unweighted_bce,ensemble,Pleural Effusion,T2_2016,raw,youden_validation,0.020260223798685823
